statement_id,text,completion
193,"The relations between men and women within my household is good, we look to live without gender inequality. The decisions made are jointly made which is not the case we had before. There are various trainings with the mothers group which has made it possible to know that family decisions should not be taken by one person but collectively for the family's well being. We previously had a discrepancy in relation to the household activities, they had to be selected in a certain way but we are all in agreement and without discrimination. I take care of the babies because of the training I had after believing that it was a positive action, helping to grow in the best way. These changes are good, as I end up helping many children and adults today, as in comparison to before. [Relationship between men and women improved because...We now work collectively, than before. We have even better relations than before.]","Increased knowledge; Relationships/gender_Shared household decision-making
Increased knowledge; Relationships/gender_Shared household tasks
Shared household decision-making_Improved household relationships
Shared household tasks_Improved household relationships"
196,"In my community the relations are good, as we are more concerned with respecting each other. We work in groups (we have a joint farm where everyone part takes in) for the well being of the members of the community in general, nowadays the people of the community find it way easier to learn, and they look to learn more than before which is good. We now know that with knowledge we evolve more, we do things in groups only for the well being of the community and the farm where we all look for food and from there some money comes in from sales. [Work together more because...Because, nowadays we think of our well being, the lectures we had in the group showed us the benefits and advantages of group work.]",Community groups/learning_Community works together
200,"For example nowadays, I do not get sick as much as before, thanks to the lectures that I had on hygiene. With the knowledge I possess today I believe I am better able to help my family as well.","Health behaviour_Improved health
Improved health_Wellbeing"
202,"I say that there will be changes because of the fact that, I now possess more knowledge in the agriculture area, health, nutrition and savings. With all these instruments, there is a probability of me progressing in the next 5 years is a bit higher. In the previous years I never knew what it mean to work for a better tomorrow now I know that I should work considering tomorrow, that I should not sell all I have, so I do not have to go to the market to buy what I already have.","Increased knowledge; Farming method/practice_Hope for future
Increased knowledge; Health and hygiene practices_Hope for future
Increased knowledge; Nutrition_Hope for future
Increased knowledge; Finance_Hope for future"
206,"The only people who get sick here, are my self and one of my sons who has hearing problems, I have gone to the hospital but they have nothing to say as they only give us pills. There has been no changes in regards to my sickness, I have some wounds on my lips over the past four years. To keep myself healthy I have changed my ways for example: The toilet type, I now dig litter into holes to help get rid of sickness at home. I changed my hygienic practices, now washing my hands before preparing food, washing my hands whenever I leave the washroom and I always leave my yard and kids clean. I stopped using latrines and not washing my hands, I stopped always being dirty and not assuring that my kids are always clean. This change is all over my family, because we have benefited a lot in terms of keeping good health. I have changed a lot, thanks to the teachings that I had in the group of exemplary mothers.","Health behaviour_Improved health
Health behaviour; Use better toilets_Improved health
Health behaviour; Use pits to dispose of rubbish_Improved health
Health behaviour; Wash hands; After using toilet_Improved health
Health behaviour; Wash hands; Before cooking/eating_Improved health
Health behaviour; Live in clean environment_Improved health"
209,"Last year I produce less, but this year I produced more as I had 5 wagons. There was rains, we planted seeds early as we learnt from the Organisation 2 project how to plant seeds. My method of planting has not changed as I only produce corn. I have no oxen, as I started with 30, I only have 12 left the other have died, goats have also died as well as oxen, who was stepped on by the mother, there has been no increase. In Agriculturel practices I have adopted some changes in storing.","Increased knowledge; Farming method/practice_Planted seeds early
Planted seeds early_Farm production
Farm production_Produced enough food to eat and/or sell"
215,"Our eating habit has changed, we now have three meals per day. Before the lessons we had with Organisation 2, we ate two meals per day. I now eat normally. The new food I have been introduced to is kale, tomato, carrots, beets  and during food shortage seasons we eat the same way. Because we no longer sell our foods and end up hungry afterwards. The processing technique has changed, yes. When we harvest these days, we store in sacks to conserve which we were taught. I now purchase more as I have more money as in comparison to before. When we have more spare food we remove a bit, and when we do not have spare food we do not remove, because besides consuming we also remove to sell.","Increased knowledge; Nutrition_Food consumption quantity
Increased knowledge; Nutrition_Diet improved; Diversified
Able to survive hungry period_No longer go hungry/starve"
222,"There has been some changes after the lectures that we had in the groups. We are now well fed, I was taking care of a 6 month old baby who was only fed breast milk, the mother never had difficulties in producing milk because she was well nourished and that is the way it has been in my household in this period. The kids are only fed breast milk which was recommended by the hospital. I was also taking care of babies who were older than six months to two years old who were fed on soft pasta and enriched porridge (flour and peanut butter) all my babies we fed this way as they are all born in Country B. Pregnant women eat three meals per day (banana, maize meal with curry, eggs) whilst previously this was only for people who could afford, no more. The project explained to us that we should all eat the same thing, as within my family there were some taboo's, no more as we are now discovering they were all lies as we learn through the lectures in the groups. These changes are very good, as people are now fed with more vitamins, pregnant women give birth to healthy babies.","Increased knowledge; Nutrition_Broken taboo
Increased knowledge; Nutrition_Diet improved; Increased number of meals refers:Pregnancy
Broken taboo_Diet improved; Diversified refers:Pregnancy
Diet improved; Increased number of meals refers:Pregnancy_Diet improved; Diversified refers:Pregnancy
Diet improved; Diversified refers:Pregnancy_Improved health refers:infants"
226,"There has been a change in our mentalities when it comes to nutrition, people are well fed and with a variety of goods.",Increased knowledge; Nutrition_Diet improved; Diversified
227,"The way my family saves money has changed considering the fact that I keep more than before, I have notions of what it means to save, we now make orderly purchases, we (My children and  I) take jointly decisions on how to spend money. I now part take in savings because the group came to teach us how and why we should save, for this reason I save to be able to get as much money to buy other important things (animals, plow(s), and a water pump) These days it is different as I am able to save my money. We do not borrow money, maybe in the future when we will need to. All these changes taking place are positive so we evolve in a way and save our money as to before...With the lessons that we had with exemplary mothers group, it was possible to see that it is very important to save money if we want to make some progress in life. We should not be satisfied with what we have, as we are now more objective as to before. We buy things that help today and in the future: buying animals.","Member of savings group_Increased knowledge; Finance
Increased knowledge; Finance_Increased ability to save/increased savings
Increased knowledge; Finance_Able to manage money
Increased ability to save/increased savings_Able to buy farming equipment/materials
~Ability to meet household needs_Borrowing"
228,Increased,"Shared household decision-making_Wellbeing
Shared household decision-making_~Change in gender relations; Women/wife more control over finances; Saving
~Change in gender relations; Women/wife more control over finances; Saving_Wellbeing"
229,"I have some other businesses as gardening and I buy and sell animals like (chicken, goat, and oxen)",Non-farming business_Increase purchasing power
232,"The relations between men and women gets better every time here at home, we make decisions together and we respect each other. We no longer wait for the dad to arrive to slaughter chicken and we always look to work in groups for the best of the whole family. I now take better care of the babies and children, all these things I mentioned is thanks to exemplary moms group who go from home to home and teach these lessons promoting change within the community. These changes are good because there has been a new way of dealing with the people within the community. [Relationships between men and women improved because...Because of the lectures we had. There should be no inequality of any form in a home. The base of our survival is respect and love.]","Increased knowledge; Relationships/gender_Community works together
Increased knowledge; Relationships/gender_Shared household decision-making
Community works together_Improved household relationships
Shared household decision-making_Improved household relationships"
235,"I have good relations in the community, we live with one common purpose, which is different from before as were all isolated and we never liked learning new things. We had fixed ideals and principals but through the Organisation 2 project, promotors and exemplary moms was possible to change people's mentalities and have them follow what they were learning. With all these lessons the principle of group work was possible, we fenced the school to avoid animals from breaking into the school premises. We also cleaned an area for our kids to play soccer. [Community working together more because...The main motive for this change is as a result of the teachings that we had and the advantages that we observe as we work in groups.]","Community groups/learning_Community works together
Community works together_Community development"
239,"We get along well, we look to work together and we do economize and make decisions in groups here at home. This unites us and will unite us all even more.","Increased knowledge; Relationships/gender_Shared household decision-making
Shared household decision-making_Improved household relationships
Improved household relationships_Wellbeing"
241,"As a result of the studies that we had with the Organisation 2 project, the way we get along as a family gives me hope that in 5 years things will get better, we can make much progress.","Increased knowledge; Relationships/gender_Improved household relationships
Improved household relationships_Hope for future"
244,"I do take better care of my health. My family and I are very healthy as we do not get sick often. I do take good care of my self and my children. I often go to church and I take three baths per day. I brush my teeth and we also have better toilet/latrines. There has been some changes as we do wash our hands after using the toilets. I dig holes into which I put litter always. I use mosquito nets, and we also make use of the better and improved latrines/toilets (wash hands with soap and ash after using toilet and the washing is done in Tip Tap a  cost effective technique to wash hands). We stopped alleviating ourselves in the bushes. We no longer toss litter anywhere. We adults and kids have shifted our behaviour when it comes to hygiene so as everything goes well. We wash our hands after visiting the toile/latrines, and we  also wash our hands before and after meals. We also make use of mosquito net and we are well.","Health behaviour; Wash hands; After using toilet_Improved health
Health behaviour; Increase number of washes per day_Improved health
Health behaviour; Brush teeth_Improved health
Health behaviour; Use better toilets_Improved health
Health behaviour; Use pits to dispose of rubbish_Improved health
Health behaviour; Use mosquito nets_Improved health
Health behaviour; Use better toilets; No longer in open spaces_Improved health
Health behaviour; Wash hands; Before cooking/eating_Improved health"
247,"There has been some changes yes, but this year we did not produce as much because I was not able to irrigate because I was pregnant but we had enough to eat. Not much changed because I was unable to produce as I did not have the strength. I have lamb, chicken for sell just to increase on my income. Yes I plant vegetables in lines and I have a pump to assist in irrigation because this was how we were taught to do things (Organisation 1) according to Agriculturel practices. Yes, I changed some things because we previously put it in cellars........ with the shells at home, but now I thrash and place it in conservation bags at home in a room. Yes I plant potatoes, tomatoes, onions, cabbage, beans, carrot and vegetables in my garden.","Pregnancy refers:Pregnancy_Unable/less able to work on farm
Increased knowledge; Farming method/practice_Improved/new farming techniques; Cultivating in lines
Increased knowledge; Farming method/practice_Improved/new farming techniques; Use water pump"
252,"It is because in the previous year there was a lot, this year I have for personal consumption along with  the money from selling.","Farm production_Produced enough food to eat and/or sell
Produced enough food to eat and/or sell_Income"
253,"Yes, there has been some changes and nowadays we eat well when we can, sometimes good food. Yes, sometimes when we had, but when we do not have we do not eat because I am not always guaranteed to sell. Yes, spaghetti, rice, fish, meat, and chicken because I have my own business besides the farm and garden. This has changed now because when we have food I buy what we do not have and I keep some money. Yes, there has been some changes because I now store in bags and I use some medicine to conserve and to kill the bugs. We started using pesticides to avoid  insects that are destroying our crops and storing to  have more food as well to maintain for a longer period. So as it is all protected. Yes, there is some change because when I do have some money I buy some food for my kids to eat as well. I no longer plant spare food, I used to but not any more.","Farm production_Produced enough food to eat and/or sell
Produced enough food to eat and/or sell_Food consumption quantity
Produced enough food to eat and/or sell_Diet improved; Diversified
Able to save/store food_More food in hungry season"
260,"There has been some change for the better because they were healthy and we ate well. I only feed my baby breast milk. They cannot eat anything else because breast milk is good for them to grow healthy, for babies, and I learnt (from hospital but this was reinforced until we understood when Organisation 1 came with learning on taking care of babies) that kids should only be fed breast milk in the age ranging from 0-6 months they should only have milk until they complete six months then can have porridge made from maize meal flour, maize meal and stew. There has not been much change because these things I learnt for my babies healthy growth. There is no difference depending on the age, because for as long as he can eat proper food there is no need to vary foods as much, the same goes for men and women. I have three meals per day but whenever I feel hungry I the above mentioned food. Not much has changed as pregnancy is not a sickness, I ate anything I was able to eat. For me I just hear about taboos, but that was not my case I never chose anything, anything I was able to eat I did eat, but only what I wanted because what I did not like I did not eat. I think it is a good way in my opinion, because without taboo's kids grow healthy and in a good way.",Increased knowledge; Nutrition_Increased knowledge; Nutrition
265,"There has been some change because we only make purchases when we have money, I do not money spend unnecessarily even though I do not economize. Yes there has been some change as we now purchase more, and we buy good things because I have kids who also sustain me...........Myself because my husband died and my eldest son lives at his own house. I spend my money satisfying my needs at home, my son also helps me. No we never borrowed money from any one the little we had was sufficient to get us by. I think it is good to borrow money to add a few things at home although I did not ask any one for money.","Increased knowledge; Finance_Able to manage money
Receives money from children_Increase purchasing power"
267,Last year my production level increased.,"Farm production_Income
Income_Increase purchasing power"
273,"Within the community we get along very well disregarding some problems, but we are happy. Yes we do work in groups so that everyone get along in the community, and we also have a good way of solving our issues very well. Yes, there has been change, we learnt good things from Organisation 1 but we also share good ideas amongst us. Yes, there has been lots of changes taking place, we have women's group, savings group and I would like to save more by cannot at this stage because I don't have enough money.",Community groups/learning_Community works together
275,"Yes, things are changing, we learn various good things that are happening with the help of the project (Organisation 1) that take place here leading to our well being. For example; Having access to latrines/toilets, mosquito nets, Tip Taps (Water-Taps), digging of holes to throw litter into.",Health behaviour_Wellbeing
279,"With the help of God, I will fight provide a good life for my family and I. My son and I are going to work hard to have more farms. I produce more to have a better life in the future.",Farm production_Improvement to life
284,"IN RELATION TO THE PAST YEAR, THERE ARE SOMES CHANGES, BECAUSE WE PASSED TO USING THE GOOD PRACTICES OF HEALTH AND HYGIENE. THIS IN THE USE OF THE MOSQUITO NET, PLACING GARBAGE IN PLACE APPROPRIATES, WASH THE HANDS BEFORE REFINING, TAKE BATH DAILY. THERE WERE BETTER IMPROVEMENT IN HEALTH AND PERSONAL HYGIENE AND ALSO IN THE FAMILIAR SLEEP. I CHANGE BECAUSE I HAVE BEEN CAREFUL OF HEALTH AND HYGIENE IN RELATION TO THE LAST YEAR. WHY I HAVE DEVELOPED AROUND THE GOOD PRACTICES IN CLEANING THE HOUSE, WASH THE HANDS BEFORE THE REAFFICIENCY, USE OF IMPROVED LATRINES AND USE OF THE MOSQUITO NET, BECAUSE BEFORE HAVING GOOD PRACTICES IN THE HEALTH AND HYGIENE TRAINING, WE DID NOT WASH FOODS, NOT HAD IMPROVED LATRINE, WE DO NOT USE THE MOSQUITO NET, BUT WITH THE BASIS OF THE TEACHING OF GOOD PRACTICES from Organisation 1 THIS BROUGHT DIFFERENT THINGS IN THE FAMILY overall (MAN, WOMAN AND CHILDREN).","Health behaviour_Improved health
Health behaviour; Use mosquito nets_Improved health
Health behaviour; Live in clean environment_Improved health
Health behaviour; Wash food before cooking/eating_Improved health
Health behaviour; Use better toilets_Improved health"
286,"BECAUSE THERE WAS CHANGES IN THE LEARNING OF NEW PRACTICES IN HEALTH CARE (HEALTH AND HYGIENE) IN THE HOUSEHOLD IN WHICH CONSERVES HEALTH OF THE FAMILY. Training from Organisation 1 was on improved latrines, washing hands after toilet use, Making Tip Taps (technique) to wash hands and also bathing more often.","Access to tap_Health behaviour
Health behaviour_Improved health"
287,"IN A YEAR BACK, WE HAD NO GOOD PRACTICES IN THE SEED PLANTS, WE DID NOT USE THE METHODS OF SEED PLANT IN LINE WITH THAT WE DID NOT HAVE GROWTH IN AGRICULTURE, AFTER THE TALKS BRANCHED BY Organisation 1, taught not to burn trees, and how to do lines and compass. WE HAVE GROWTH IN THE PRODUCE USING THE METHOD ON LINE. SOME MOVED CHANGES IN THE QUANTITY OF PRODUCTION OF THE OTHER CULTURES AND PASSED HAVE MORE PRODUCTION, AND MORE INCOME. I WOULD IMPROVE IN THE STORAGE WAY WITH THE BULKING AND FOLLOW-UP PROCEDURE WE STORED WITHIN THE HOUSE. I CHANGED SOME VEGETABLES WITH THESE CHANGES OF GROWTH, I WANT TO PRODUCE MORE, AND TO SELL MORE AND NOW TO BUY OTHER SEED","Increased knowledge; Farming method/practice_Improved/new farming techniques; Cultivating in lines
Increased knowledge; Farming method/practice_Planted new crop/vegetable varieties
Improved/new farming techniques; Cultivating in lines_Farm production
Planted new crop/vegetable varieties_Farm production
Farm production_Income"
289,"THE POST FORMATION GIVEN BY Organisation 1, THERE WERE CHANGES IN THE PRODUCTION OF FOOD QUANTITIES AND ALSO A HIGH SALE OF FOOD AND VERY GOOD PRACTICE IN PRODUCTION AND THAT PRODUCED A LOT OF INCOME","Increased knowledge; Farming method/practice_Farm production
Farm production_Produced enough food to eat and/or sell"
290,"ON THE BASIS OF THE FORMATION TEACHING from Organisation 1 OF HOW TO MAKE INCOME, THERE WERE CHANGES IN THE FAMILY overall, WE PLACED IN PRACTICES IN LAUNCHING THE SEED ONLINE, AND WITH THAT WE PASSED TO HAVE MORE PRODUCTIVITY AND MORE SALE, WITH THOSE GAINS WE GOT TO ORGANIZE AND IMPROVE OUR LIFE . YES CHANGED BECAUSE THROUGH THE INCREASE IN PRODUCTIVITY AND SALE I WENT TO CREATING OTHER INCOME FROM HOW TO MAKE MONEY.","Increased knowledge; Farming method/practice_Improved/new farming techniques; Cultivating in lines
Improved/new farming techniques; Cultivating in lines_Farm production
Farm production_Income"
292,"WITH THE GREATER PRODUCTION OF AgricultureL PRODUCT, WE HAVE TO HAVE MORE SALE, THIS AND WE GOT TO PURCHASE SOME GOODS MATERIAL FOR MY FAMILY THIS WAS NOT HAPPENING A YEAR AGO.","Increased knowledge; Farming method/practice_Farm production
Farm production_Increase purchasing power"
293,"IN A COMPARISON WITH ANOTHER YEAR, I AND MY FAMILY ALREADY HAVE THE POSSIBILITY TO VARIATE FOOD, besides producing the basic common which is maize we started production of horticulture such as tomatoes, onions. AND WE HAVE ALREADY HAD THE GREATEST NUMBER OF DAILY MEAL, MY CHILDREN HAVE GOOD HEALTH (NUTRITION). AND WITH THAT I HAVE CONSUMED 
VARIABLE FOODS SUCH AS: BREAD, PASTA MASS, RICE, MILK, THAT WAS NOT HAPPENING YEARS AGO. SO WHY I CONSERVE MORE THE FOOD FOR THE HONEY TIME, WHEREAS THAT PERIOD AND DEFICIENT. YES WHY DO NOT I HAVE SOLD THE PRODUCT TO GUARANTEE THE HONOR OF HUNGER OR (DIFFICULT). SO THAT THROUGH THE PRODUCTIVITY AND SALE I HAVE SAID ANOTHER OPTION IN THE MARKET WHEN BUYING OTHER TYPES OF FEEDS. YES WITH PASSING OF TIME IN INCOME AND PRODUCTIVITY I WANT TO BUY OTHER WILD SEEDS AND WITH THESE I WOULD HAVE MORE COLLECTION.","Planted new crop/vegetable varieties_Diet improved; Diversified
Planted new crop/vegetable varieties_Diet improved; Diversified refers:infants
Farm production_Income
Income_Ability to buy food"
295,"MORE FOOD VARIETIES THAT GENERATED A GOOD NUTRITION IN THE FAMILY overall AND WE ALSO CONSERVE MORE FOOD. Increased from the introduction production of horticulture such as tomatoes, onions these enabled more food. With tomatoes and onions we could now do stew to avoid only eating  green vegetables.","Planted new crop/vegetable varieties_Farm production
Farm production_Food consumption quantity
Able to save/store food_Food consumption quantity
Food consumption quantity_Improved health"
297,"AFTER, THE GOOD WAYS OF CONSERVATION OF FOOD AND VARIETIES IN FOODS HELPED A GOOD RESULT IN THE HEALTH OF THE FAMILY.","Planted new crop/vegetable varieties_Diet improved; Diversified
Able to save/store food_Diet improved; Diversified
Diet improved; Diversified_Improved health
Diet improved; Diversified_Improved health"
300,"DURING THE LAST YEARS, THERE WERE MANY CHANGES WITH FOOD CONSUMPTION AND WITH MORE VARIETY MAINLY IN THE CHILDREN. DURING THE LAST YEAR WE HAVE MORE CARE WITH THE BABY, WITH THE POSSIBILITY OF VARIATION IN THE FOOD. THE MATERNAL MILK IN THE FIRST MONTHS HELPED IN THE NUTRITION OF THE BABY THAT WITH THE RECOMMENDATION OF THE HEALTH CENTER (Organisation 1 and sometimes from the government) AND ALSO IN THE FIRST 6 MONTHS WE GAVE OTHER FOODS LIKE THE MILK. ME AND MY FAMILY WERE TAKING CARE OF OUR BABY (NUTRITION) WITH THE RECOMMENDATION OF THE LOCAL HEALTH CENTER WITH THE LEARNED IN THE BREASTFEEDING MATERNAL HELPED A LOT AND IN THIS CASE THE DAILY REFINERY IS PASSED 3 SIDES AS THE DAILY BASIS, BUT FOR THE BABY THEY DO NOT HAVE THE RIGHT PERIOD OF MATERNAL BREASTFEEDING, THAT CHANGED BECAUSE THE CHILDREN HAVE A GOOD HEALTH AND ALSO WITH THE DIVERSIFICATION OF DIFFERENT TYPES AND COMBINATION OF FOOD. DURING THE DAY WE PASSED 3 MEALS A DAY TO HELP GOOD HEALTH AND IN THE PRODUCTION OF MILK. THE PREGNANT MAIDS OR THOSE THAT BREASTFEED DOES NOT HAVE TABOOS ABOUT WHAT SHOULD EAT OR NOT EAT.","Increased knowledge; Nutrition_Diet improved; Diversified refers:infants
Increased knowledge; Nutrition_Diet improved; Diversified refers:infants"
305,"AFTER THE LECTURE AND THE FINANCIAL-RELATED TEACHING from Organisation 1. I AND THE FAMILY WENT TO SAVE MONEY WITH THE BANKING USE (Bank D). WE HELPED A LOT OF IT AND THAT WAS A NEW THING FOR OUR COMMUNITY. CHANGED WHY WE MADE THE USE OF PURCHASE OF MORE RATIONAL. IN MY HOUSE I HAVE DECIDED IN SOME CASE AS THE CHIEF OF THE FAMILY, MORE ALSO MY WOMAN HAS GIVEN HER OPINION IN RELATION TO THE EXPENSES. WITH HELP OF THE STUDY OF THE FINANCES (MONEY) SAFELY WE USE THE ACCOUNT BANKING (Bank D) THIS WILL HELP FOR SOME URGENT CASES. I FEEL PROUD BECAUSE THAT MUDANCES ARE GOOD FOR MY FAMILY overall AND FOR THE COMMUNITY IN GENERAL, AND A NEW THING THAT HAD NOT HAPPENED IN THE PAST YEAR","Increased knowledge; Finance_Increased ability to save/increased savings
Increased ability to save/increased savings_Able to manage money"
307,"WE EARN MORE WITH THE PRODUCTION AND ALSO CAN SAVE MORE, THAT TO GUARANTEE IN DIFFICULT TIMES","Farm production_Income
Income_Increased ability to save/increased savings"
313,"I AND MY FAMILY DO NOT HAVE PROBLEMS IN RELATING TO THE COMMUNITY (COMMUNITY LEADER, CHIEF OF THE LOCALITY). THERE WERE SOME CHANGES AND WITH THESE CHANGES THERE WAS A NEED TO CREATE A GROUP OF FARMERS WHERE EACH ONE CONTRIBUTES WITH HIS EXPERIENCES IN THEORY AND IN THE PRACTICE OF AGRICULTURE. THROUGH THIS GROUP OF FARMERS, BENEFITS CERTAIN FAMILY ADDED IN EDUCATION, IN HEALTH AND ALSO IN THE GENERAL WELL-BEING OF EACH HOUSEHOLD WHERE THROUGH THE PRODUCTION OR THE HARVEST ARE SOLD THE PRODUCTS FOR PURCHASE OF SOME THINGS SUCH AS (CLOTHES, DISHES, SPOONS, AND MUCH MORE).","Community groups/learning_Shared learning with others
Community groups/learning_Farm production
Farm production_Income
Income_Increase purchasing power"
317,"COMMUNITY DEVELOPMENT, INVESTMENT IN HEALTH AND IN THE EDUCATION OF EACH FAMILY overall.","Community groups/learning_Community development
Community development_Wellbeing"
319,"WITH RELATION TO THE LAST YEAR, WITH THE HELP OF SOME LECTURES THAT Organisation 1 BROUGHT TO THE COMMUNITY, A DIFFERENT THING HAPPENED IN MY FAMILY, WE APPLIED THE COURSES GIVEN BY Organisation 1, AND THAT LEFT A GOOD IMAGE OF WELL BEING IN THE OVERALL FAMILY AND WE ALSO FEEL THAT IN THE FUTURE THERE WILL BE MORE LEARNING OPPORTUNITIES FOR OTHER FUTURE GENERATIONS","Community groups/learning_Wellbeing
Wellbeing_Hope for future
Received training (Organisation 1)_Increased knowledge"
323,"IN RELATION TO THE LAST YEAR I HAVE SUNDOWED ANY IMPROVEMENTS, BUT WITH SOME DIFFICULTIES IN WHICH MY HEALTH AND HYGIENE WAS NOT THE BEST, BUT WITH A TIME WALK THROUGH THE GROWTH OF LECTURES TEACHED WITH Organisation 1 AND THE LOCAL HEALTH CENTER WERE TRANSFERRING MANY IMPROVEMENTS OF HYGIENE AND HEALTH OF MY HOUSEHOLD FAMILY AND THAT IS BETTER THAN BECAUSE I HAVE BEEN USING LATRINE IMPROVED, DRINK THE TREATED WATER (POTAVEL) USE OF THE MOSQUITO NET, WE WASH THE HANDS BEFORE WE PASS THE MEALS LOOK FOR THE BACKYARD, TAKING THE GARBAGE IN APPROPRIATE PLACE (HOLE). I HAVE NOT BEEN SICK BUT I HAVE THE GOOD PRACTICE OF HEALTH AND HYGIENE. YES, ON MY DAY I CARE MORE TO FEEL MORE HEALTHY AND CLEAN USING THE RULES OF HEALTH AND HYGIENE. THAT HAD NOT HAPPENED IN MY HOUSEFOLD FAMILY. ALSO IN MY PRACTICES THERE WERE a lot TO CHANGE HYGIENE AND HEALTH CARE BECAUSE, BEFORE MY REAFFIRM I WASH THE hand WITH SOAP OR ASH, WE USE MOSQUITO NET TO AVOID MALARAIA, I WASTE FOOD BEFORE COOKING AND MUCH MORE. THAT WAS VERY DIFFERENT FOR MY HOUSEHOLD FAMILY BECAUSE YOU ARE HEALTHY (HEALTH FIRST)","Health behaviour; Use better toilets_Improved health
Health behaviour; Drink clean/treated water_Improved health
Health behaviour; Use mosquito nets_Improved health
Health behaviour; Wash hands; Before cooking/eating_Improved health
Health behaviour; Live in clean environment_Improved health
Health behaviour; Use pits to dispose of rubbish_Improved health
Health behaviour; Wash food before cooking/eating_Improved health"
326,"IN COMPARISON TO A YEAR BACK THE CONDITIONS WAS NOT THE BEST OF THAT WHY I DID NOT KNOW IN THE AREA OF AGRICULTURE, BUT AFTER SOME ENCOUNTERS GIVEN BY Organisation 1 THE THINGS IMPROVED A LOT USING THE METHOD ON LINE THAT I DID NOT DO IN THE PAST YEAR. I ALTERED THE QUANTITY OF PRODUCTION WITH THE USE OF PLANT IN LINE WHICH HELPED A LOT IN THE QUANTITY OF PRODUCTION. ALSO CHANGED THE QUANTITIES OF CHICKEN CREATION THAT BECAUSE WITH INCREASE IN MY PRODUCTION HELPED ALSO IN THE FOOD OF MY CHICKEN BREEDING. THERE WERE CHANGES IN THE PLANTING WAY BECAUSE I USED THE PLANTING METHOD ONLINE, WHEN I PUT THE PREPARATION PROCESS .AFTER THE DEBULATION TAKES IN BAGS FOR HOUSE OF FOLLOWING STORAGE INSIDE THE HOUSE. ALSO IN MY HOUSEHOLD There have been changes in what I have cultivated this because I had to plant other vegetables with: PEANUT, BEAN GAME, CABBAGE, GARLIC, SESAME E A LOT MORE.","Increased knowledge; Farming method/practice_Improved/new farming techniques; Cultivating in lines
Increased knowledge; Farming method/practice_Planted new crop/vegetable varieties
Improved/new farming techniques; Cultivating in lines_Farm production
Farm production_More to feed breeding chickens"
329,"IN COMPARISON WITH THE YEAR BACK, MANY DIFFICULTIES I PASSED BECAUSE I HAD NO GOOD INCOME IN MY FARMS,BY GOD'S GRACE Organisation 1 MOVES MANY CHANGES. ALREADY I HAVE A GOOD PRODUCTION AND THAT HELPED IN THE IMPROVEMENT OF HOW TO MAKE MORE MONEY WITH MY FARMS. YES CHANGED A LOT IN THE WAY OF MAKING MONEY BECAUSE THE PRODUCTION IS GREATER IN MY FARMS OR VEGETABLE GARDEN. ALSO, I AM MAKING MONEY THROUGH OTHER SOURCE (REFORM IN HEALTH) WITH THAT SOURCE ALSO IS HELPING IN IMPROVING THE MY HOUSEHOLD FAMILY.","Increased knowledge; Farming method/practice_Farm production
Farm production_Income"
332,"IN RELATION TO THE YEAR PAST THERE WERE MANY CHANGES IN FOOD CONSUMPTION BECAUSE I CAN VARY FOODS, IT HAS NOT HAPPENED IN THE LAST YEAR AS I SURVIVED MY MINISTRY OF HEALTH REFORM, IT WAS NEVER SUFFICIENT TO HELP MYSELF. YES I'M EATING MORE THAN ANYTHING BECAUSE I HAVE VARIED FOODS, ALSO I'M EATING EAT OTHER FOODS LIKE: EGG, MILK, FISH, GABAGE, OIL, MASS SPARKLE, BREAD. YES CHANGED BECAUSE WHEN I FIND THIS TIME I ALREADY HAVE RESERVED FOODS, AND ALSO WITH MY FINAL HOSPITAL HELP IN THE MANAGEMENT OF THESE TIMES. I CHANGED IN THE WAY AS I STORED THE FOOD GUARD INSIDE THIS HOUSE THAT BECAUSE I WAS STORED ON THE SIGN AND WAS STOLEN. I'M HAPPY WHEN I AM GOING TO THE MARKET BECAUSE I ALREADY HAVE MANY OPTIONS IN THE PURCHASE OF FOOD. FOR GERMAN PURCHASE ON THE MARKET I ALSO HAVE CONSUMED THE WILD FOODS I PLANTED AND THAT HELPED A LOT IN THE FINANCIAL BALANCE.","Increased knowledge; Farming method/practice_Planted new crop/vegetable varieties
Planted new crop/vegetable varieties_Farm production
Farm production_Food consumption quantity
Farm production_Diet improved; Diversified
Farm production_Income
Income_Ability to buy food
Ability to buy food_Food consumption quantity
Ability to buy food_Diet improved; Diversified"
339,"EVEN HAVING PASSED FOR SMALL DIFFICULTIES IN THE LAST YEAR, BUT THIS YEAR SOMETHING FOOD IS HEALTHY I HAVE VARIED THE FOOD THIS HELPS HAVE A GOOD NUTRITION. MY BABY IS FEEDING FROM BREASTFEEDING (IS <6 MONTHS). NOT BECAUSE THAT IS MY FIRST LUCK. I DO NOT HAVE THE DAILY NUMBER OF BREASTFEEDING WHENEVER I NEED I GIVEN MILK. I DO NOT ALSO HAVE ANOTHER TYPE OF FOOD COMBINATION FOR MY BABY BECAUSE IT IS <6 MONTHS. I HAD NO PROBLEMS OR TABOOS TIME I WAS PREGNANT EVEN NOW THAT I'M MAMING. THE LECTURES IN THE HEALTHY UNIT WERE VERY USEFUL IN MY DAY TO DAY.",Increased knowledge; Nutrition_Increased knowledge; Nutrition
